race_position,qualifying_position,fastest_lap,positions_gained,drpt,dqpt
0.8,0.6,1,0.210526316,0.105263158,-0.210526316
0,0.8,0,-0.842105263,-0.052631579,0.578947368
0.95,0.7,1,0.263157895,0.210526316,-0.052631579
0.15,0.8,0,-0.684210526,-0.052631579,0.052631579
0.75,0.7,1,0.052631579,-0.105263158,-0.052631579
0.95,0.95,0,0,0.421052632,1
0.8,0.7,1,0.105263158,-0.052631579,-0.157894737
0.8,0.75,0,0.052631579,-0.105263158,-0.052631579
0.1,0.65,0,-0.578947368,-0.894736842,-0.157894737
0.75,0.7,0,0.052631579,0.526315789,-0.052631579
0,0,0,0,-0.842105263,-0.842105263
0.8,0.4,1,0.421052632,0.789473684,-0.263157895
0.2,0.6,0,-0.421052632,-0.684210526,-0.052631579
0.15,0.05,0,0.105263158,-0.631578947,-0.736842105
0.7,0.7,0,0,-0.210526316,-0.210526316
0.7,0.1,0,0.631578947,-0.052631579,0.052631579
0.8,0.25,0,0.578947368,-0.052631579,-0.631578947
0.2,0.8,0,-0.631578947,-0.736842105,0.736842105
0.15,0.95,0,-0.842105263,-0.842105263,0.052631579
0.8,0.45,0,0.368421053,-0.105263158,-0.315789474
0.8,0.75,0,0.052631579,-0.052631579,0.052631579
0.05,0.4,0,-0.368421053,-0.631578947,-0.052631579
0.1,0.5,0,-0.421052632,-0.052631579,0.368421053
0.65,0.65,0,0,0.684210526,0.052631579
0,0.5,0,-0.526315789,-0.315789474,0.263157895
0.4,0.35,0,0.052631579,0.052631579,-0.684210526
0.55,0.7,0,-0.157894737,0.210526316,0.263157895
0.7,0.8,0,-0.105263158,0.052631579,0.157894737
0.45,0.6,0,-0.157894737,-0.157894737,0.263157895
0.4,0.4,0,0,0.052631579,0.157894737
0.65,0.65,0,0,0.157894737,0.157894737
0.05,0.35,0,-0.315789474,-0.157894737,-0.210526316
0.3,0,0,0.315789474,-0.105263158,-0.473684211
0.3,0.5,0,-0.210526316,-0.315789474,0.105263158
0.8,0.75,0,0.052631579,0.052631579,0.052631579
0.3,0,0,0.315789474,-0.263157895,-0.631578947
0.05,0.5,0,-0.473684211,-0.473684211,-0.210526316
0.05,0.2,0,-0.157894737,0.052631579,-0.052631579
0.6,0.35,0,0.263157895,0.105263158,-0.052631579
0.7,0.55,0,0.157894737,0.157894737,0.105263158
0.7,0.45,0,0.263157895,0.473684211,0.105263158
0.45,0.65,0,-0.210526316,0.052631579,0.105263158
0.8,0.6,0,0.210526316,0.105263158,0.052631579
0.8,0.6,0,0.210526316,0.105263158,0.052631579
0.05,0.5,0,-0.473684211,-0.578947368,0.210526316
0.6,0.6,0,0,0.526315789,-0.157894737
0.6,0.45,0,0.157894737,0.315789474,0.157894737
0.8,0.6,0,0.210526316,0.105263158,0.052631579
0.3,0.75,0,-0.473684211,-0.315789474,0.473684211
0.45,0.35,0,0.105263158,0.105263158,0.105263158
0.8,0.8,1,0,0.052631579,0.105263158
0.7,0.65,0,0.052631579,0.105263158,0.263157895
0.8,0.6,0,0.210526316,0.526315789,0.105263158
0.75,0.75,0,0,0.105263158,0.105263158
0.85,0.7,0,0.157894737,0.789473684,0.052631579
0.55,0.5,0,0.052631579,-0.052631579,0.052631579
0.85,0.75,0,0.105263158,0.842105263,0.368421053
0.5,0.75,0,-0.263157895,0.052631579,0.105263158
0.65,0.7,0,-0.052631579,0.105263158,0.052631579
0.75,0.65,0,0.105263158,-0.157894737,0.210526316
0.65,0.45,1,0.210526316,0.105263158,-0.052631579
0.55,0.2,0,0.368421053,-0.210526316,-0.473684211
0.65,0.7,0,-0.052631579,-0.157894737,0.052631579
0.7,0.7,0,0,-0.157894737,0.052631579
0.55,0.2,0,0.368421053,-0.210526316,-0.473684211
0.7,0.65,0,0.052631579,0.105263158,0.105263158
0.4,0.4,0,0,-0.473684211,-0.368421053
0.55,0.35,0,0.210526316,-0.210526316,-0.210526316
0.7,0.5,0,0.210526316,-0.052631579,-0.105263158
0.35,0.35,0,0,-0.421052632,-0.526315789
0.65,0.35,0,0.315789474,-0.210526316,-0.578947368
0.75,0.7,0,0.052631579,-0.052631579,-0.052631579
0.45,0.45,0,0,0.210526316,-0.263157895
0.8,0.8,0,0,0.526315789,0.578947368
0.45,0.5,0,-0.052631579,-0.052631579,0.157894737
0.95,0.9,1,0.052631579,0.052631579,0.052631579
0.8,0.75,0,0.052631579,0.157894737,-0.210526316
0.35,0,0,0.368421053,-0.315789474,-0.684210526
0.75,0.7,0,0.052631579,0.157894737,0.052631579
0.4,0.65,0,-0.263157895,-0.105263158,0.578947368
0.05,0.45,0,-0.421052632,-0.473684211,-0.315789474
0.4,0.3,0,0.105263158,-0.157894737,-0.526315789
0.75,0.45,0,0.315789474,0.263157895,-0.210526316
0.4,0.5,0,-0.105263158,-0.263157895,-0.368421053
0.35,0.3,0,0.052631579,-0.368421053,-0.421052632
0.35,0.3,0,0.052631579,-0.368421053,-0.421052632
0.3,0.1,0,0.210526316,0.052631579,-0.263157895
0.15,0.3,0,-0.157894737,-0.526315789,-0.157894737
0.7,0.65,0,0.052631579,-0.052631579,-0.157894737
0.1,0.7,0,-0.631578947,-0.789473684,-0.052631579
0.35,0.3,0,0.052631579,0.315789474,-0.315789474
0.4,0.55,0,-0.157894737,-0.210526316,0.105263158
0.35,0.3,0,0.052631579,-0.368421053,-0.473684211
0.6,0.4,0,0.210526316,0.052631579,-0.052631579
0.45,0.55,0,-0.105263158,0.210526316,0.263157895
0.35,0.3,0,0.052631579,-0.368421053,-0.421052632
0.55,0.45,0,0.105263158,-0.105263158,-0.052631579
0.55,0.55,0,0,-0.105263158,-0.210526316
0.25,0.55,0,-0.315789474,-0.421052632,-0.263157895
0.25,0.65,0,-0.421052632,-0.157894737,0.526315789
0.15,0.15,0,0,-0.526315789,-0.526315789
0.15,0.8,0,-0.684210526,-0.526315789,-0.052631579
0.75,0.2,0,0.578947368,-0.052631579,-0.526315789
0.45,0.45,0,0,-0.052631579,-0.052631579
0.2,0.25,0,-0.052631579,-0.526315789,-0.473684211
